Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка
Специалист отдела продаж,от 150000 руб.,"['пунктуальность', 'целеустремленность', 'стрессоустойчивость', 'грамотная речь', 'умение работать в команде', 'обучаемость', 'проведение презентаций', 'поиск и привлечение клиентов', 'общение с клиентами', 'продажа услуг', 'ведение клиентской базы', '""холодные"" звонки', 'активные продажи', 'выполнение плана продаж', 'исходящие звонки', 'поддержание клиентской базы', 'сопровождение сделок', 'умение продавать', 'работа с возражениями']",['Студентам'],"ООО ""КЕЙС""",[],"г Екатеринбург, ул Конструкторов, стр 5",Екатеренбург,Работа в торговле,Менеджер по продажам,опыт работы от 1 года,образование любое,https://eburg.rabota.ru/vacancy/48851556/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Грузчик на склад,50000— 70000 руб.,"['пунктуальность', 'погрузочно-разгрузочные работы', 'работа склада', 'участие в проведении инвентаризаций', 'отгрузка товара', 'выгрузка товара', 'Грузчик']",['Студентам'],"ООО ""ПРОМГАЗСЕРВИС-МГ""","['Уральская,', 'Динамо']","Уральская, Динамо,г Екатеринбург, Шоферов пер, д 5Б",Екатеренбург,Работа на складах,Грузчик,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/48316725/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Администратор пункта выдачи заказов,18000— 40000 руб.,[],[],ООО Нова Ленд,"['Уральская,', 'Динамо']","Уральская, Динамо,г Екатеринбург, ул Готвальда, д 14а",Екатеренбург,,Администратор,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/53787186/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Инженер ПТО,70000— 110000 руб.,"['Ответственность, внимательность к деталям, исполнительность.']",['Пенсионерам'],ООО Олимп,['Геологическая'],"Геологическая,г Екатеринбург, ул Куйбышева, д 159а, помещ 19",Екатеренбург,Работа на производстве,Инженер пто,опыт работы от 3 лет,образование высшее,https://eburg.rabota.ru/vacancy/53532847/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Повар-универсал,90000— 99000 руб.,"['ответственность', 'пунктуальность', 'обучаемость']","['Пенсионерам', 'Студентам']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ АЛЕКСЕЕВ ДМИТРИЙ АНДРЕЕВИЧ,['Динамо'],"Динамо,г Екатеринбург",Екатеренбург,Работа в ресторанах,Повар,опыт работы от 1 года,образование среднее профессиональное,https://eburg.rabota.ru/vacancy/52418581/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Менеджер по логистике железнодорожных перевозок,60000— 150000 руб.,"['ответственность', 'стрессоустойчивость', 'ведение переговоров', 'поиск и привлечение клиентов', 'транспортная логистика']",[],"ООО ""Меридиан""",['Чкаловская'],"Чкаловская,г Екатеринбург, ул Отто Шмидта, д 58, офис 409",Екатеренбург,Работа в логистике,Логист,опыт работы от 1 года,образование любое,https://eburg.rabota.ru/vacancy/49814566/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Комплектовщик-грузчик,70000— 80000 руб.,"['погрузочно-разгрузочные работы', 'комплектация товара', 'упаковка товара']","['Быстрый отклик', 'Студентам']","ООО ""ПРИМО-УРАЛ""",[],"г Екатеринбург, ул Профессионалов, стр 9",Екатеренбург,Работа на складах,Комплектовщик,опыт работы Без опыта,образование любое,https://eburg.rabota.ru/vacancy/46893515/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Официант,по договоренности,[],['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ГАФУРОВ ДОНИЁР ИМОМКУЛОВИЧ,['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург, ул Воеводина, д 4",Екатеренбург,Работа в ресторанах,,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/54251680/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Менеджер по работе с клиентами в интернет-магазине,45000— 180000 руб.,[],[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ТУРОВСКИЙ АНДРЕЙ ВАЛЕНТИНОВИЧ,['Уральская'],"Уральская,г Екатеринбург, ул Уральская, д 8",Екатеренбург,Менеджер магазина,Менеджер интернет-магазина,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/51931448/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Кровельщик (бригада кровельщиков),80000— 200000 руб.,"['монтажные работы', 'строительные работы', 'плотницкие работы', 'строительно-монтажные работы', 'работа с электроинструментом']","['Пенсионерам', 'Студентам']","ООО СМК ""КУБ""",['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург",Екатеренбург,Работа в строительстве,Кровельщик,опыт работы от 1 года,образование любое,https://eburg.rabota.ru/vacancy/50330161/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Специалист по оценке соответствия лифтов требованиям безопасности,60000— 100000 руб.,"['ответственность', 'обучаемость', 'работа с документами']",[],"АО ""СИЦ ""ЛИФТЭКСПЕРТ""","['Площадь 1905 года,', 'Геологическая']","Площадь 1905 года, Геологическая,г Екатеринбург, ул Розы Люксембург, стр 17",Екатеренбург,,,опыт работы от 1 года,образование среднее профессиональное,https://eburg.rabota.ru/vacancy/49808869/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Программист 1С,от 80000 руб.,"['техническая поддержка', 'доработка конфигураций 1С', 'разработка нетиповых конфигураций 1С', '1С:Управление небольшой фирмой', '1С программирование']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СМЫК ОЛЕГ МИХАЙЛОВИЧ,"['Уральская,', 'Динамо,', 'Площадь 1905 года,', 'Геологическая']","Уральская, Динамо, Площадь 1905 года, Геологическая,г Екатеринбург, ул Малышева, д 150",Екатеренбург,Работа в сфере IT,Программист,опыт работы Менее года,образование любое,https://eburg.rabota.ru/vacancy/49503243/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Помощник руководителя,25000— 40000 руб.,"['грамотная речь', 'обеспечение жизнедеятельности офиса', 'регистрация входящей и исходящей документации', 'деловая переписка', 'Административная поддержка руководителя']","['Пенсионерам', 'Людям с инвалидностью']","ООО ""ФИНЭКС""",['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург, ул Красноармейская, д 10, офис 11/08",Екатеренбург,Работа в офисе,Секретарь,опыт работы не имеет значения,образование высшее,https://eburg.rabota.ru/vacancy/48740544/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Бухгалтер по зарплате,55000— 75000 руб.,['внимательность к деталям'],['Быстрый отклик'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КОРЕПАНОВА ЮЛИЯ ГЕННАДЬЕВНА,['Чкаловская'],"Чкаловская,г Екатеринбург, ул Московская, д 287",Екатеренбург,Работа в бухгалтерии,Бухгалтер,опыт работы от 1 года,образование среднее профессиональное,https://eburg.rabota.ru/vacancy/54254735/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Менеджер по изысканиям,80000 руб.,"['ответственность', 'обучаемость', 'строительное образование']",[],"ООО ""ТЕЛКОМ""","['Динамо,', 'Площадь 1905 года']","Динамо, Площадь 1905 года,г Екатеринбург, ул Первомайская, д 56",Екатеренбург,,,опыт работы от 1 года,образование любое,https://eburg.rabota.ru/vacancy/54254552/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Старший кладовщик,75000— 85000 руб.,"['ответственность', 'приемка товара', 'складской учет', 'комплектация товара', 'складирование товара', 'контроль отгрузок', 'управление складом']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ НИЗАМЕЕВ ШАМИЛЬ АМИРОВИЧ,[],"г Екатеринбург, ул Профессионалов, д 9",Екатеренбург,Работа на складах,Кладовщик,опыт работы Без опыта,образование любое,https://eburg.rabota.ru/vacancy/53813014/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Администратор пункта выдачи заказов,23000— 30000 руб.,"['ответственность', 'пунктуальность', 'грамотная речь', 'общение с клиентами']","['Пенсионерам', 'Студентам']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЧИГИРЁВ АРТУР ВЛАДИМИРОВИЧ,['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург, пр-кт Ленина, д 54 к 5",Екатеренбург,,Администратор,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/50624837/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Управляющий ТСЖ,50000— 55000 руб.,"['ответственность', 'пунктуальность', 'стрессоустойчивость', 'управленческие навыки', 'грамотная речь', 'контроль работы персонала', 'ведение табеля учета рабочего времени', 'ведение документации', 'деловая переписка', 'пользователь ПК', 'Знание жилищного законодательства в сфере ЖКХ']",[],"ТСЖ ""АГАТ""",['Динамо'],"Динамо,г Екатеринбург, ул Мамина-Сибиряка, д 54",Екатеренбург,Управляющий,Управляющий тсж,опыт работы от 1 года,образование любое,https://eburg.rabota.ru/vacancy/53935701/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Менеджер по продажам,100000— 200000 руб.,"['стрессоустойчивость', 'развитие клиентской базы', 'планирование продаж', 'сопровождение сделки', 'поддержание клиентской базы', 'продажи продукта / услуги']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ПОЛОЖЕНЦЕВ НИКОЛАЙ ВЛАДИМИРОВИЧ,['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург, ул Пушкина, д 9А",Екатеренбург,Работа в торговле,,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/53819321/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Мастер-наставник / преподаватель столярного дела,по договоренности,"['любовь к детям', 'работа с детьми', 'проведение детских праздников', 'воспитание детей', 'развитие детей', 'детская психология', 'обучение детей', 'изготовление деталей']","['Пенсионерам', 'Студентам']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ГАМБУРГ АЛЕКСАНДР ИВАНОВИЧ,[],"г Екатеринбург, ул Владимира Высоцкого, д 18",Екатеренбург,Работа в сфере образования,Преподаватель,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/50162290/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Помощник руководителя,30000— 45000 руб.,[],['Быстрый отклик'],"ООО ""ВУЗПОСТАВКА""",['Ботаническая'],"Ботаническая,ул Новостроя, стр 1а",Екатеренбург,Работа в офисе,Секретарь,опыт работы Менее года,образование среднее профессиональное,https://eburg.rabota.ru/vacancy/46812216/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
