,Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
4369,Помощник бухгалтера,от 70000 руб.,"['взаиморасчеты с поставщиками', 'оформление приходно-расходных документов', 'первичная документация', '1С: Предприятие 8']",['Студентам'],"ООО ""ДОСС""",['Аннино'],"Аннино,г Москва, ул Дорожная, д 60Б",Москва,Работа в бухгалтерии,Бухгалтер,без опыта,среднее профессиональное,https://www.rabota.ru/vacancy/50247518/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,
4370,Менеджер по продажам,150000— 370000 руб.,"['грамотная речь', 'обучаемость', 'развитие клиентской базы', 'общение с клиентами', 'ведение клиентской базы', 'телефонные переговоры', 'активные продажи', 'исходящие звонки', 'прямые продажи', 'CRM-система', 'общение по телефону', 'работа с возражениями', 'Навыки продаж']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КОЛОМЕЙЧЕНКО АНГЕЛИНА ЕВГЕНЬЕВНА,,"г Москва, проезд Нагатинский 1-й, д 2 стр 36",Москва,Работа в торговле,Менеджер по продажам,до года,любое,https://www.rabota.ru/vacancy/50118540/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,370000
4371,Архитектор (удалённо),до 15000 руб.,"['AutoCAD', 'Autodesk Revit Architecture']",Без тега,ИП Хайридинов Салават Нуриманович,,"г Москва, поселение Рязановское",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/50042887/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,15000
4372,Контент-менеджер,от 40000 руб.,нет,['Студентам'],"ООО ""ИМПЕРИЯ КОФЕ""",['Кожуховская'],"Кожуховская,г Москва, ул Петра Романова, д 14 стр 1",Москва,Работа в маркетинге,Менеджер по маркетингу,до года,любое,https://www.rabota.ru/vacancy/49805933/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,40000,
4373,Агент по продаже недвижимости,от 90000 руб.,"['ответственность', 'коммуникабельность', 'обучаемость', 'продажи', 'показы объектов', 'поиск объектов недвижимости']",['Пенсионерам'],"ООО ""ГОРОДСКОЙ ЦЕНТР НЕДВИЖИМОСТИ""",['Народное ополчение'],"Народное ополчение,г Москва, ул Маршала Тухачевского, д 58 к 3",Москва,Работа в сфере недвижимости,Риэлтор,без опыта,любое,https://www.rabota.ru/vacancy/49716743/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,
4374,Ассистент логиста,96800— 125400 руб.,"['ответственность', 'внимательность', 'стрессоустойчивость', 'обучаемость']","['Быстрый отклик', 'Студентам', 'Людям с инвалидностью']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ МИРОШНИЧЕНКО ЮРИЙ ВАЛЕРЬЕВИЧ,['Улица 1905 года'],"Улица 1905 года,г Москва, 1-й Земельный пер",Москва,Работа в логистике,Логист,без опыта,любое,https://www.rabota.ru/vacancy/54214060/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,96800,125400
4375,Менеджер по работе с клиентами,55000— 78000 руб.,"['ведение клиентской базы', 'консультирование', 'СРМ система']","['Пенсионерам', 'Студентам']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КАНИНА АННА АЛЕКСАНДРОВНА,['Бутырская'],"Бутырская,г Москва, Огородный проезд, д 9 стр 12",Москва,Менеджер по работе с клиентами,Менеджер по работе с клиентами дома,без опыта,любое,https://www.rabota.ru/vacancy/54247359/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,55000,78000
4376,Уборщик/уборщица (офис),85000 руб.,"['ответственность', 'трудолюбие']",['Пенсионерам'],"АО ""Спортивный комплекс ""Олимпийский""","['Проспект Мира,', 'Проспект Мира']","Проспект Мира, Проспект Мира,г Москва, Олимпийский пр-кт, д 16 соор 1",Москва,Работа в сфере бытовых услуг,Уборщица,от 3 лет,любое,https://www.rabota.ru/vacancy/54247312/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,85000,
4377,Уборщик/ца-гардеробщик/ца,50000 руб.,"['уборка помещений', 'поддержание чистоты', 'сухая и влажная уборка', 'мытье полов', 'поддержание чистоты и порядка']",Без тега,Фрэш-спорт,['Перово'],"Перово,г Москва, проезд 1-й Перова Поля, д 9",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/54247071/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,
4378,Водитель самосвала (Shacman X3000),200000— 250000 руб.,['техническое обслуживание автомобиля'],Без тега,"ООО ""МАКСИКАР""","['Озерная,', 'Очаково']","Озерная, Очаково,г Москва, ул Рябиновая, д 63А",Москва,Работа на транспорте,Водитель,от 1 года,высшее,https://www.rabota.ru/vacancy/54246999/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,200000,250000
4379,Курьер,от 150000 руб.,"['доброжелательность', 'вежливость', 'доставка документов', 'доставка товаров', 'доставка заказов']","['Быстрый отклик', 'Студентам']",Печеркина Анжелика Валерьевна,,"г Москва, р-н Текстильщики",Москва,Работа в сфере доставки,Курьер,без опыта,среднее,https://www.rabota.ru/vacancy/54246988/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,
4380,Менеджер по продажам стеклянных конструкций,100000— 250000 руб.,"['ответственность', 'пунктуальность', 'развитие клиентской базы', 'ведение клиентской базы', 'телефонные переговоры', 'выполнение плана продаж', 'подготовка коммерческих предложений', 'ведение заказов', 'планирование продаж', 'умение продавать']",Без тега,ЗСК Феникс,['Площадь Революции'],"Площадь Революции,г Москва",Москва,Работа в торговле,Менеджер по продажам,от 3 лет,любое,https://www.rabota.ru/vacancy/54246848/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,250000
4381,Сиделка,100000— 200000 руб.,нет,Без тега,ИП Мурашкина Карина Александровна,,г Москва,Москва,Работа для домашнего персонала,Сиделка,без опыта,любое,https://www.rabota.ru/vacancy/52883820/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,200000
4382,Помощник руководителя,от 99000 руб.,"['грамотная речь', 'планирование рабочего дня руководителя', 'организация совещаний', 'консультирование', 'организация переговоров', 'деловая переписка']",Без тега,ИП Мухомадеева Ольга Николаевна,['Площадь Революции'],"Площадь Революции,г Москва",Москва,Работа в офисе,Секретарь,без опыта,любое,https://www.rabota.ru/vacancy/52637019/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,99000,
4383,Трейдер на фондовом рынке,от 120000 руб.,"['внимательность', 'коммуникабельность', 'стрессоустойчивость', 'анализ рынка', 'Работа в команде']",['Студентам'],"ООО ""СУБРАН""",['Преображенская площадь'],"Преображенская площадь,г Москва, Преображенская пл, д 8",Москва,Работа в финансовой сфере,Трейдер,без опыта,любое,https://www.rabota.ru/vacancy/52534060/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,120000,
4384,Арбитражник P2P,от 130000 руб.,"['коммуникабельность', 'стрессоустойчивость', 'финансовая аналитика', 'Работа в команде']",['Студентам'],ООО Кументор,['Аэропорт'],"Аэропорт,г Москва, ул Викторенко, д 9, помещ 4Н",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/52463047/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,130000,
4385,Оператор интернет-магазина/менеджер,50000— 125000 руб.,"['ответственность', 'MS Office  Excel', 'MS Office Word', '1C', 'ведение электронного документооборота']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЗАПРЯГАЕВ АНДРЕЙ ВЛАДИМИРОВИЧ,"['Динамо,', 'Гражданская']","Динамо, Гражданская,г Москва, ул Юннатов, д 18",Москва,Менеджер магазина,Менеджер интернет-магазина,от 1 года,любое,https://www.rabota.ru/vacancy/52260066/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,125000
4386,Уборщик/ца в фитнес-клуб,30000— 35000 руб.,"['ответственность', 'уборка', 'влажная уборка', 'уборка помещений', 'сухая и влажная уборка', 'вынос мусора', 'мытье полов', 'поддержание чистоты и порядка']",['Пенсионерам'],"ООО ""АКАДЕМИЯ СПОРТА""",['Курьяново'],"Курьяново,г Москва, Новочеркасский б-р, д 10 к 1",Москва,Работа в сфере бытовых услуг,Уборщица,без опыта,любое,https://www.rabota.ru/vacancy/50581373/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,30000,35000
4387,Ассистент / Помощник руководителя,30000— 120000 руб.,"['ответственность', 'пунктуальность', 'стрессоустойчивость', 'обучаемость']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БОГОЛЮБОВА МАРИЯ ПЕТРОВНА,['Народное ополчение'],"Народное ополчение,г Москва, ул Маршала Тухачевского, д 41",Москва,Работа в офисе,Секретарь,от 1 года,любое,https://www.rabota.ru/vacancy/50074410/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,30000,120000
4388,Менеджер по работе с клиентами (удаленно),80000— 150000 руб.,нет,['Людям с инвалидностью'],"ООО ""ЖФ""",['Автозаводская'],"Автозаводская,г Москва, ул Ленинская Слобода, д 19",Москва,Менеджер по работе с клиентами,Менеджер по работе с клиентами дома,от 1 года,любое,https://www.rabota.ru/vacancy/49804566/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,150000
4389,Уборщик/уборщица,от 30000 руб.,"['ответственность', 'пунктуальность', 'трудолюбие', 'обучаемость', 'уборка', 'влажная уборка', 'генеральная уборка', 'уборка помещений', 'уборка офиса', 'сухая и влажная уборка', 'вынос мусора', 'мытье полов', 'уборка туалетов', 'поддержание чистоты и порядка', 'чистота и порядок']","['Быстрый отклик', 'Пенсионерам']","ООО ""Ольва""",['Новокузнецкая'],"Новокузнецкая,г Москва, Овчинниковская наб, д 20 стр 2",Москва,Работа в сфере бытовых услуг,Уборщица,без опыта,любое,https://www.rabota.ru/vacancy/53042301/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,30000,
4390,Повар (подработка),60000— 80000 руб.,"['приготовление напитков', 'приготовление кофе', 'приготовление блюд', 'приготовление полуфабрикатов', 'русская кухня', 'приготовление горячих блюд', 'приготовление салатов', 'приготовление холодных блюд']","['Пенсионерам', 'Студентам']",ПЕРЕВЕРЗЕВА ЛЮБОВЬ АНАТОЛЬЕВНА,"['Войковская,', 'Водный стадион,', 'Коптево,', 'Балтийская']","Войковская, Водный стадион, Коптево, Балтийская,г Москва, ул Нарвская, д 1А к 2",Москва,Работа в ресторанах,Повар,без опыта,любое,https://www.rabota.ru/vacancy/50260767/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,80000
4391,Коммерческий специалист в тендерную компанию,до 250000 руб.,"['коммуникабельность', 'стрессоустойчивость', 'ведение переговоров', 'ведение деловой переписки', 'участие в тендерах', 'ведение телефонных переговоров', 'подготовка тендерной документации', 'Работа в команде']","['Студентам', 'Людям с инвалидностью']",НИЛОКС,['Площадь Революции'],"Площадь Революции,г Москва",Москва,Работа в продажах,Специалист по тендерам,без опыта,любое,https://www.rabota.ru/vacancy/53733617/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,250000
4392,Курьер  (аптека),от 150000 руб.,"['доброжелательность', 'вежливость', 'доставка документов', 'доставка товаров', 'доставка заказов']","['Быстрый отклик', 'Студентам']",Печеркина Анжелика Валерьевна,,"г Москва, р-н Текстильщики",Москва,Работа в сфере доставки,Курьер,без опыта,среднее,https://www.rabota.ru/vacancy/54244542/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,
4393,Охранник (УЧО),от 61000 руб.,['охрана объектов'],Без тега,"ООО ЧОО ""КРЕМЕНЬ""","['Арбатская,', 'Арбатская']","Арбатская, Арбатская,г Москва, Нижний Кисловский пер, д 5 стр 1",Москва,Работа в сфере безопасности,Охранник,от 3 лет,любое,https://www.rabota.ru/vacancy/54222866/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,61000,
4394,Дворник,от 90000 руб.,"['уборка', 'уборка территории', 'сухая и влажная уборка', 'вынос мусора', 'мытье полов', 'поддержание чистоты и порядка']",['Студентам'],ТСЖ Сиреневый 62,"['Щелковская,', 'Первомайская']","Щелковская, Первомайская,г Москва, Сиреневый б-р, д 62 к 1",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/53884481/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,
4395,Водитель трансфера категории D,130000— 150000 руб.,"['ответственность', 'пунктуальность', 'безаварийное вождение', 'правила дорожного движения', 'перевозка пассажиров', 'спокойный стиль вождения', 'права категории D']",['Пенсионерам'],"ООО ""ТКФ""",['Рассказовка'],"Рассказовка,г Москва, р-н Внуково, б-р Андрея Тарковского",Москва,Работа на транспорте,Водитель,от 3 лет,любое,https://www.rabota.ru/vacancy/53839306/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,130000,150000
4396,Электрик в ЖКХ,90000— 110000 руб.,"['ремонт электрооборудования', 'чтение электросхем', 'III группа по электробезопасности', 'электромонтажные работы', 'электробезопасность', 'обслуживание электрооборудования', 'прокладка кабелей', 'работа с электроинструментом']",Без тега,"ООО ""КОРДИС ХОУМ""","['Шаболовская,', 'Тульская']","Шаболовская, Тульская,г Москва, 4-й Верхний Михайловский проезд, д 1",Москва,Работа в строительстве,Электрик,от 3 лет,среднее профессиональное,https://www.rabota.ru/vacancy/53576052/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,110000
4397,Хостес,165000— 185000 руб.,"['пунктуальность', 'грамотная речь', 'вежливость']",['Студентам'],ООО Милонг,,г Москва,Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/52548887/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,165000,185000
4398,Диспетчер,115000— 125000 руб.,"['коммуникабельность', 'стрессоустойчивость', 'организаторские способности', 'Внимание к деталям', 'работа в условиях многозадачности', 'Способность к быстрой адаптации и обучению']",['Студентам'],"ООО ""МЕЛЛАР""",,г Москва,Москва,Работа в офисе,,без опыта,любое,https://www.rabota.ru/vacancy/52543132/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,115000,125000
4399,SMM-менеджер / Старший SMM-менеджер в агентство по работе с блогерами и артистами,100000— 150000 руб.,"['копирайтинг', 'написание текстов', 'ведение групп в социальных сетях', 'интернет-маркетинг', 'интернет-реклама', 'SMM', 'Разработка контент-плана', 'продвижение бренда', 'маркетинговая стратегия', 'анализ целевой аудитории', 'Подбор Контента', 'Запуск маркетинговых кампаний']",Без тега,ИП Короткий Дмитрий Михайлович,,"г Москва, Ленинградский пр-кт, д 39 стр 79",Москва,Работа в маркетинге,Менеджер по маркетингу,от 3 лет,любое,https://www.rabota.ru/vacancy/51445420/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,150000
4400,"Редактор, корректор",46000— 110000 руб.,"['редактирование материалов', 'корректура', 'грамматика', 'орфография', 'стилистика русского языка']",Без тега,Федеральное государственное казенное образовательное учреждение высшего образования Московский университет Министерства внутренних дел Российской Федерации имени В.Я. Кикотя,['Беляево'],"Беляево,г Москва, ул Академика Волгина, д 12",Москва,Работа в СМИ,Корректор,от 1 года,высшее,https://www.rabota.ru/vacancy/50473106/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,46000,110000
4401,Водитель тонара категории СЕ,200000— 350000 руб.,"['ответственность', 'пунктуальность', 'устройство автомобилей', 'безаварийное вождение', 'правила дорожного движения', 'перевозка грузов', 'работа с сопроводительной документацией', 'содержание автомобиля в чистоте']",['Пенсионерам'],"ООО ""КРАФТ""",['Коптево'],"Коптево,г Москва",Москва,Работа на транспорте,Водитель,без опыта,любое,https://www.rabota.ru/vacancy/50141094/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,200000,350000
4402,SEO-специалист Middle (удаленно),72000— 135000 руб.,"['ответственность', 'Google Analytics', 'продвижение сайтов', 'SEO']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ВЕСЕЛОВА ЕЛЕНА ВЛАДИМИРОВНА,['Площадь Революции'],"Площадь Революции,г Москва",Москва,Работа в сфере IT,Seo-специалист,от 1 года,любое,https://www.rabota.ru/vacancy/49992583/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,72000,135000
4403,Водитель,от 65000 руб.,"['пунктуальность', 'стрессоустойчивость', 'деловой этикет', 'безаварийное вождение', 'правила дорожного движения', 'спокойный стиль вождения']",['Пенсионерам'],ООО ОПТИМ-ИНВЕСТ,['Румянцево'],"Румянцево,г Москва, ул Инженера Кнорре",Москва,Работа на транспорте,Водитель,от 10 лет,любое,https://www.rabota.ru/vacancy/48800934/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,65000,
4404,Менеджер в офис интернет-магазина (стажер),50000— 90000 руб.,"['копирайтинг', 'администрирование сайтов', 'SEO', 'интернет-маркетинг', 'контекстная реклама']",['Быстрый отклик'],"ООО ""АСТРОН""","['Таганская,', 'Таганская']","Таганская, Таганская,г Москва, Космодамианская наб, д 32-34",Москва,Менеджер магазина,Менеджер интернет-магазина,без опыта,любое,https://www.rabota.ru/vacancy/46481070/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,90000
4405,"Офис-менеджер, секретарь",от 70000 руб.,"['ответственность', 'пунктуальность', 'коммуникабельность', 'стрессоустойчивость', 'грамотная речь', 'MS Office  Excel', 'MS Office Word', 'ведение документооборота', 'делопроизводство', 'прием и распределение телефонных звонков', 'прием входящих звонков', 'работа с документами', 'работа с первичной документацией', 'обработка данных', 'обеспечение жизнедеятельности офиса', 'регистрация входящей и исходящей документации', 'решение административно-хозяйственных вопросов']",Без тега,Сервис-решения,['Дмитровская'],"Дмитровская,г Москва, ул Тимирязевская, д 1 стр 2",Москва,Работа в офисе,Офис-менеджер,без опыта,любое,https://www.rabota.ru/vacancy/48858999/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,
4406,Курьер в банк (подработка),до 200000 руб.,"['ответственность', 'пунктуальность', 'доброжелательность', 'хорошее знание города', 'доставка документов', 'доставка товаров', 'доставка заказов', 'доставка корреспонденции']","['Быстрый отклик', 'Пенсионерам', 'Студентам', 'Людям с инвалидностью']",Курьерская служба,,г Москва,Москва,Работа в сфере доставки,Курьер,без опыта,среднее,https://www.rabota.ru/vacancy/54246798/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,200000
4407,Специалист по доставке документов,95000— 140000 руб.,"['ответственность', 'работа с документами', 'работа с сопроводительной документацией']","['Быстрый отклик', 'Пенсионерам', 'Студентам', 'Людям с инвалидностью']","ООО ""АСТРО ЛАФТ""",['Улица 1905 года'],"Улица 1905 года,г Москва, ул Пресненский Вал, д 5",Москва,Работа в сфере доставки,Специалист по доставке,от 1 года,любое,https://www.rabota.ru/vacancy/54246334/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,95000,140000
4408,Комплектовщик заказов (Вахта),от 180000 руб.,['ответственность'],"['Быстрый отклик', 'Пенсионерам', 'Студентам']",ООО «Табия»,,"105005, г Москва, Басманный р-н, ул Бакунинская, д 10-12 стр 1",Москва,Сборщик,Комплектовщик заказов,без опыта,любое,https://www.rabota.ru/vacancy/54246264/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,180000,
4409,Офис-менеджер,от 100000 руб.,нет,Без тега,"ООО ""ТДК ГРУПП""",['Румянцево'],"Румянцево,г Москва, Киевское шоссе, 22-й км, д 4 стр 2",Москва,Работа в офисе,Офис-менеджер,без опыта,любое,https://www.rabota.ru/vacancy/54241354/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,
4410,Машинист экскаватора-погрузчика,от 115500 руб.,"['ответственность', 'работа на погрузчике', 'управление экскаватором', 'работа на экскаваторах-погрузчиках', 'ремонт и обслуживание техники', 'ВОДИТЕЛЬ ПОГРУЗЧИКА']",Без тега,СК МСК,['Домодедовская'],"Домодедовская,г Москва, ул Шипиловская, д 28А",Москва,Работа на транспорте,Машинист,от 3 лет,среднее,https://www.rabota.ru/vacancy/54240378/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,115500,
