id,Название вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Категория,Детальные категории,Город,Метро,Линия метро,Цвет линии метро,Адрес,Id компании,Индуcтрия,Кол-во персонала в компании,Кол-во размещенных вакансий,Название компании,Опыт,График работы,Образование,Широта,Долгота,ссылка
51821361,"Пекарь (Москва, 9-я Парковая, 33)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,,,https://www.superjob.ru/vakansii/pekar-51821361.html
51821383,"Пекарь (Москва, Партизанская, 10)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,,,https://www.superjob.ru/vakansii/pekar-51821383.html
51822640,"Пекарь (Москва, Гурьянова, 3)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,,,https://www.superjob.ru/vakansii/pekar-51822640.html
51822661,"Пекарь (Москва, Энергетическая, 11)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,,,https://www.superjob.ru/vakansii/pekar-51822661.html
51822674,"Пекарь (Москва, Новоданиловская, 6)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,,,https://www.superjob.ru/vakansii/pekar-51822674.html
51822696,"Пекарь (Москва, Маресьева, 7)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,,,https://www.superjob.ru/vakansii/pekar-51822696.html
48284053,Пекарь,67320,91341,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Южнобутовская, 81",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.53355,37.52491,https://www.superjob.ru/vakansii/pekar-48284053.html
48767502,"Пекарь (Москва, Плеханова, 16А)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Рабочий персонал']","['Рестораны, кафе, столовые, фастфуд', 'Другое', 'Пищевая промышленность', 'Квалифицированный рабочий']",Москва,[],[],[],"Москва, улица Плеханова, 16к1",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.744976,37.764843,https://www.superjob.ru/vakansii/pekar-48767502.html
49063619,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Народного Ополчения, 21",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.777504,37.476189,https://www.superjob.ru/vakansii/pekar-49063619.html
49333993,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Россошанская, 4",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.591064,37.61026,https://www.superjob.ru/vakansii/pekar-49333993.html
49505853,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Шипиловская, 1",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.617825,37.696945,https://www.superjob.ru/vakansii/pekar-49505853.html
49747148,"Пекарь (Москва, Говорова, 8)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, улица Говорова, 8к1",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.717968,37.396854,https://www.superjob.ru/vakansii/pekar-49747148.html
49877877,"Пекарь (Москва, Грина, 11Б)",67320,91341,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, улица Грина, 11Б",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.566879,37.566654,https://www.superjob.ru/vakansii/pekar-49877877.html
50124381,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, 3-я Хорошёвская, 7",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.773544,37.536572,https://www.superjob.ru/vakansii/pekar-50124381.html
50125319,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Маршала Жукова, 60",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.778198,37.461426,https://www.superjob.ru/vakansii/pekar-50125319.html
50129767,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Туристская, 8",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.850613,37.424416,https://www.superjob.ru/vakansii/pekar-50129767.html
