Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
Тренер по акробатике,80000— 120000 руб.,"['ответственность', 'дисциплинированность', 'умение работать в команде', 'обучаемость', 'работа с детьми', 'спортивный разряд', 'проведение групповых занятий']",Без тега,Индивидуальный предприниматель МАХОНИНА ЕЛЕНА НИКОЛАЕВНА,"['Площадь Революции,', 'Марьино']","Площадь Революции, Марьино,г Москва",Москва,Работа в сфере красоты,Тренер,от 3 лет,среднее профессиональное,https://www.rabota.ru/vacancy/48527215/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,120000
Пекарь,100000— 120000 руб.,"['активные продажи', 'приготовление выпечки', 'выпечка хлеба', 'работа с технологическими картами', 'выпечка', 'замес теста', 'выпечка хлебобулочной продукции', 'умение продавать']",Без тега,"ООО ""ГРИНОУК БАР""","['Ленинский проспект,', 'Площадь Гагарина']","Ленинский проспект, Площадь Гагарина,г Москва, 2-й Донской проезд, д 4 стр 9",Москва,,,от 2 лет,любое,https://www.rabota.ru/vacancy/48402653/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,120000
Кладовщик склада,55000 руб.,"['работа склада', 'прием товара']",Без тега,"ООО ""ОПТОСЕРВИС""",['Киевская'],"Киевская,г Москва, Бережковская наб, д 12А стр 2",Москва,Работа на складах,Кладовщик,от 1 года,любое,https://www.rabota.ru/vacancy/48346194/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,55000,
Менеджер по продаже полиграфической и сувенирной продукции,62000— 120000 руб.,нет,Без тега,"ООО ""ДД""",['Студенческая'],"Студенческая,г Москва, Бережковская наб, д 20 стр 59",Москва,Работа в торговле,Продавец,от 3 лет,любое,https://www.rabota.ru/vacancy/48289560/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,62000,120000
Продавец-кассир,от 90000 руб.,"['обучаемость', 'доброжелательность', 'техника продаж', 'работа с пластиковыми картами', 'обслуживание покупателей', 'участие в проведение инвентаризаций', 'кассовая документация', 'прием товар']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БАГДАСАРЯН ОГАННЕС ГРАНТИ,['Полежаевская'],"Полежаевская,г Москва, ул Куусинена, д 11/1",Москва,Работа в торговле,Продавец,без опыта,любое,https://www.rabota.ru/vacancy/47888473/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,
Специалист отдела продаж,80000 руб.,"['пунктуальность', 'стрессоустойчивость', 'подготовка коммерческих предложений', 'ведение заказов', 'Исполнительнось']",Без тега,"ООО ""АРЕАЛ""",['Строгино'],"Строгино,г Москва, ул Кулакова, д 20 стр 1А",Москва,Работа в торговле,Менеджер по продажам,без опыта,среднее профессиональное,https://www.rabota.ru/vacancy/47802516/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,
Менеджер по продажам металлорежущего инструмента и оснастки,90000— 200000 руб.,"['ответственность', 'умение работать в режиме многозадачности', 'ведение переговоров', 'уверенный пользователь ПК', 'проведение презентаций', 'поиск и привлечение клиентов', 'составление отчетности']",['Студентам'],"ООО ""АКИТЭК""",['Царицыно'],"Царицыно,г Москва, ул 11-я Радиальная, д 2",Москва,Работа в торговле,Менеджер по продажам,от 1 года,высшее,https://www.rabota.ru/vacancy/47633325/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,200000
Менеджер по продажам,80000— 180000 руб.,"['""холодные"" звонки', 'активные продажи', 'выполнение плана продаж', 'поддержание клиентской базы']","['Быстрый отклик', 'Студентам', 'Людям с инвалидностью']","ООО ""БУДЕМ СТРОИТЬ""","['Бульвар Дмитрия Донского,', 'Улица Старокачаловская']","Бульвар Дмитрия Донского, Улица Старокачаловская,г Москва, ул Грина, д 32",Москва,Работа в торговле,Менеджер по продажам,от 1 года,любое,https://www.rabota.ru/vacancy/47543795/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,180000
Мужской парикмахер (барбер),100000— 180000 руб.,нет,Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БЕЛЯНИНА ТАТЬЯНА НИКОЛАЕВНА,['Фонвизинская'],"Фонвизинская,г Москва, ул Милашенкова, д 10",Москва,Работа в сфере красоты,Парикмахер,от 3 лет,любое,https://www.rabota.ru/vacancy/47219857/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,180000
Автослесарь-автомеханик,100000— 150000 руб.,"['ремонт автомобилей', 'проведение ТО', 'ремонт грузовых автомобилей', 'ремонт ДВС']","['Быстрый отклик', 'Пенсионерам']","ООО ""МТК-СФЕРА""","['Южная,', 'Пражская']","Южная, Пражская,г Москва, 1-й Дорожный проезд, д 7 стр 7",Москва,Слесарь,Механик-наладчик,от 3 лет,любое,https://www.rabota.ru/vacancy/47197213/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,150000
Продавец-кассир,от 70000 руб.,"['ответственность', 'стрессоустойчивость', 'доброжелательность', 'работа на кассе', 'обслуживание покупателей', 'консультирование покупателей']",Без тега,ООО Эвиан на Парковой,['Щелковская'],"Щелковская,г Москва, ул Уссурийская, д 1",Москва,Работа в торговле,Продавец,от 1 года,любое,https://www.rabota.ru/vacancy/47122453/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,
Веломеханик / Мастер по ремонту велосипедов,20000— 90000 руб.,['слесарные работы'],"['Быстрый отклик', 'Пенсионерам', 'Студентам']",Индивидуальный предприниматель Степанов Максим Валерьевич,['Народное ополчение'],"Народное ополчение,г Москва, ул Народного Ополчения, д 22 к 2",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/46969169/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,20000,90000
Менеджер по закупкам,от 50000 руб.,нет,['Быстрый отклик'],"ООО ""ЭнергоАльянс""",['Верхние котлы'],"Верхние котлы,Варшавское шоссе, д 35 стр 1",Москва,Работа в логистике,,от 2 лет,высшее,https://www.rabota.ru/vacancy/46956279/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,
Администратор студии загара,от 48000 руб.,"['ответственность', 'пунктуальность', 'коммуникабельность', 'стрессоустойчивость', 'обучаемость', 'доброжелательность', 'работа на кассе', 'общение с клиентами', 'продажа услуг', 'встреча клиентов', 'продажи', 'встреча гостей', 'Работа в команде']",['Быстрый отклик'],"ООО ""БИЗНЕС ИНКУБАТОР ЗАГОРАЕМ""",['Электрозаводская'],"Электрозаводская,г Москва, ул Большая Семёновская, д 16",Москва,Администратор,Администратор на ресепшн,без опыта,любое,https://www.rabota.ru/vacancy/46952117/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,48000,
