id,Название вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Категория,Детальные категории,Город,Метро,Линия метро,Цвет линии метро,Адрес,Id компании,Индуcтрия,Кол-во персонала в компании,Кол-во размещенных вакансий,Название компании,Опыт,График работы,Образование,Широта,Долгота,ссылка
51846931,Продавец магазина Магнит,39500,53000,rub,"['Службы доставки', 'Строительство, проектирование, недвижимость']","['Пункты выдачи заказов', 'Строительство деревянных домов и конструкций']",Екатеринбург,[],[],[],"Екатеринбург, Учителей, 31",280168,,более 5000,18163.0,"Магнит, Розничная сеть",Не имеет значения,Полный рабочий день,Не имеет значения,56.868694,60.633343,https://ekaterinburg.superjob.ru/vakansii/prodavec-magazina-magnit-51846931.html
51823435,Бетонщик 4 разряд,144540,0,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Строительно-монтажные работы', 'Другое', 'Начало карьеры, мало опыта', 'Рабочий персонал, разное', 'Квалифицированный рабочий']",Екатеринбург,[],[],[],,3856938,,менее 50,1832.0,"Барс Пром/ООО ""БАРС ПРОМ""",От 1 года,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/betonschik-4-razryad-51823435.html
51829076,Слесарь по обслуживанию ТС и ТП 5 разряда,58000,0,rub,"['Строительство, проектирование, недвижимость']","['ЖКХ', 'Строительно-монтажные работы']",Екатеринбург,[],[],[],"Свердловская область, муниципальное образование Екатеринбург, посёлок Северка, улица Стрелочников, 6",178200,,1000 — 5000,61.0,Т Плюс,Без опыта,Полный рабочий день,Среднее,56.860718,60.305756,https://ekaterinburg.superjob.ru/vakansii/slesar-po-obsluzhivaniyu-ts-i-tp-5-razryada-51829076.html
51848433,Дежурный помощник начальника железнодорожного вокзала,66300,0,rub,"['Строительство, проектирование, недвижимость', 'Продажи']","['Технический надзор, строительная экспертиза / ПТО', 'Логистика']",Екатеринбург,[],[],[],"Свердловская область, Екатеринбург, Вокзальная улица, 22",2466656,,более 5000,6387.0,Российские железные дороги,Без опыта,Полный рабочий день,Среднее,56.858463,60.606071,https://ekaterinburg.superjob.ru/vakansii/dezhurnyj-pomoschnik-nachalnika-zheleznodorozhnogo-vokzala-51848433.html
51854637,Каменщик (вахта),167000,167000,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Строительно-монтажные работы', 'Рабочий персонал, разное']",Екатеринбург,[],[],[],,3856938,,менее 50,1832.0,"Барс Пром/ООО ""БАРС ПРОМ""",От 1 года,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/kamenschik-51854637.html
51854693,Электромонтажник-расключник (вахта),176000,176000,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Эксплуатация зданий', 'Электроснабжение', 'Квалифицированный рабочий']",Екатеринбург,[],[],[],,3856938,,менее 50,1832.0,"Барс Пром/ООО ""БАРС ПРОМ""",От 1 года,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/elektromontazhnik-rasklyuchnik-51854693.html
51868571,Инженер систем вентиляции и кондиционирования,407170,407170,rub,"['Строительство, проектирование, недвижимость']","['Отопление, вентиляция и кондиционирование']",Екатеринбург,[],[],[],,4744563,,1000 — 5000,4189.0,АКС,От 3 лет,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/inzhener-sistem-ventilyacii-i-kondicionirovaniya-51868571.html
51725109,Главный специалист календарно-сетевого планирования (в Египет),185000,200000,rub,"['Строительство, проектирование, недвижимость', 'Промышленность, производство']","['Управление строительством, девелопмент', 'Управление проектами (ГИП)', 'Атомная энергетика']",Екатеринбург,[],[],[],город Эль-Дабаа,970633,,более 5000,2342.0,Трест Росспецэнергомонтаж,От 3 лет,Полный рабочий день,Не имеет значения,31.027443,28.438936,https://ekaterinburg.superjob.ru/vakansii/glavnyj-specialist-kalendarno-setevogo-planirovaniya-51725109.html
51774313,Ведущий инженер-сметчик,60000,0,rub,"['Строительство, проектирование, недвижимость']","['Строительно-монтажные работы', 'Технический надзор, строительная экспертиза / ПТО']",Екатеринбург,[],[],[],"Екатеринбург, улица Соболева, 29",4880866,,1000 — 5000,10.0,СООД,От 3 лет,Полный рабочий день,Не имеет значения,56.804905,60.505981,https://ekaterinburg.superjob.ru/vakansii/veduschij-inzhener-smetchik-51774313.html
50637583,Машинист бульдозера,180000,345000,rub,"['Транспорт, логистика, ВЭД', 'Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Автоперевозки', 'Благоустройство территорий', 'Транспортные системы (мосты, дороги, тоннели)', 'Квалифицированный рабочий']",Екатеринбург,[],[],[],,4651035,,100 — 500,81.0,Артель Старателей ПОЛЯРНАЯ ЗВЕЗДА,От 1 года,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/mashinist-buldozera-50637583.html
51179237,"Отделочник, вахта 45/45, Ямал-Сабетта",135000,135000,rub,"['Рабочий персонал', 'Строительство, проектирование, недвижимость']","['Рабочий персонал, разное', 'Квалифицированный рабочий', 'Отделочные работы']",Екатеринбург,[],[],[],,4744563,,1000 — 5000,4189.0,АКС,От 1 года,Работа вахтовым методом,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/otdelochnik-51179237.html
51184327,"Слесарь-сантехник, вахта 45/45, Новый Уренгой",124000,155000,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Водоснабжение, канализация', 'Рабочий персонал, разное', 'Квалифицированный рабочий']",Екатеринбург,[],[],[],,4744563,,1000 — 5000,4189.0,АКС,От 1 года,Работа вахтовым методом,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/slesar-santehnik-51184327.html
51215312,"Отделочник вахта 45/45 (ЯМАЛ, п. Сабетта)",135000,0,rub,"['Рабочий персонал', 'Строительство, проектирование, недвижимость']","['Рабочий персонал, разное', 'Квалифицированный рабочий', 'Отделочные работы']",Екатеринбург,[],[],[],,4744563,,1000 — 5000,4189.0,АКС,От 3 лет,Работа вахтовым методом,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/otdelochnik-vahta-45-51215312.html
51711830,Маляр-штукатур,180000,220000,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Строительно-монтажные работы', 'Отделочные работы', 'Рабочий персонал, разное']",Екатеринбург,[],[],[],,970633,,более 5000,2342.0,Трест Росспецэнергомонтаж,От 1 года,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/malyar-shtukatur-51711830.html
51715929,Электросварщик СК (металлоконструкции),165000,210000,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Строительно-монтажные работы', 'Квалифицированный рабочий']",Екатеринбург,[],[],[],,2837310,,более 5000,574.0,СтройТрансНефтеГаз,От 1 года,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/elektrosvarschik-sk-51715929.html
51791204,Электромонтажник КИП,0,200000,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Эксплуатация зданий', 'Электроснабжение', 'Квалифицированный рабочий']",Екатеринбург,[],[],[],,509989,,1000 — 5000,127.0,Ленгазспецстрой,От 6 лет,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/elektromontazhnik-kip-51791204.html
51796409,Электросварщик / ВАХТА,230000,300000,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Строительно-монтажные работы', 'Квалифицированный рабочий']",Екатеринбург,[],[],[],,2837310,,более 5000,574.0,СтройТрансНефтеГаз,От 1 года,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/elektrosvarschik-51796409.html
51808312,Электромонтажник,84000,110000,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Электроснабжение', 'Слаботочные системы и сети', 'Рабочий персонал, разное', 'Квалифицированный рабочий']",Екатеринбург,['Машиностроителей'],['Первая линия'],['green'],"Екатеринбург, Фронтовых Бригад, д. 18к13С",4353589,,менее 50,340.0,Jobers,От 1 года,Полный рабочий день,Среднее специальное,56.878284,60.637241,https://ekaterinburg.superjob.ru/vakansii/elektromontazhnik-51808312.html
51808329,Инженер ПТО/Ведущий инженер ПТО,180000,205000,rub,"['Строительство, проектирование, недвижимость']","['Технический надзор, строительная экспертиза / ПТО']",Екатеринбург,[],[],[],,509989,,1000 — 5000,127.0,Ленгазспецстрой,От 1 года,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/inzhener-pto-51808329.html
51810413,Автокрановщик,0,0,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Другое', 'Транспортные системы (мосты, дороги, тоннели)', 'Рабочий персонал, разное']",Екатеринбург,[],[],[],,4651035,,100 — 500,81.0,Артель Старателей ПОЛЯРНАЯ ЗВЕЗДА,От 3 лет,Полный рабочий день,Не имеет значения,,,https://ekaterinburg.superjob.ru/vakansii/avtokranovschik-51810413.html
