Название вакансии,Минимальная зарплата,Максимальная зарплата,Опыт работы,Образование,Компания,Город,Адрес,Широта,Долгота,Метро,Ссылка,Источник
Повар-сушист,117000.0,,от 1 года,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ПАК СЕРГЕЙ ОЛЕГОВИЧ,Московская область,"Московская обл, г Люберцы, ул Кирова, д 12А",55.689609,37.8632721,,https://msk-region.rabota.ru/vacancy/52407395/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Мастер маникюра,50000.0,,от 1 года,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ОГАННИСЯН АГАВНИ ГАРНИКОВНА,Московская область,"Московская обл, г Истра, пл Революции, д 6",55.9154992,36.8559455,,https://msk-region.rabota.ru/vacancy/50521515/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Администратор в салон красоты,50000.0,,без опыта,любое,"ООО ""ЭКЛАТ""",Московская область,"Московская обл, г Химки, мкр Сходня, 2-й Мичуринский тупик, д 1",55.9469684,37.3010163,,https://msk-region.rabota.ru/vacancy/50499645/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Повар-бариста,54000.0,75000.0,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ПЕРОВА ИРИНА НИКОЛАЕВНА,Московская область,"Московская обл, г Одинцово, дп Лесной Городок, ул Фасадная, д 2 к 1",,,,https://msk-region.rabota.ru/vacancy/50494794/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Продавец,,,без опыта,любое,Индивидуальный предприниматель ЗАРИНЯН САРГИС СПАРТАКОВИЧ,Московская область,"Московская обл, г Орехово-Зуево",55.8062175,38.9810423,,https://msk-region.rabota.ru/vacancy/50487112/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Продавец-консультант в строительный магазин,40000.0,,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЯГИНА ВИКТОРИЯ ВИКТОРОВНА,Московская область,"Московская обл, г Кашира, мкр Ожерелье",54.8029359,38.2738244,,https://msk-region.rabota.ru/vacancy/50377697/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Повар,75000.0,95000.0,от 3 лет,среднее профессиональное,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ДМИТРИЕВ ЮРИЙ МАРКСОВИЧ,Московская область,"Московская обл, г Люберцы, ул Инициативная, д 8а",55.6848231,37.893467,,https://msk-region.rabota.ru/vacancy/50281105/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Уборщик-посудомойщик,42000.0,,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ОДИНЦОВА НАТАЛЬЯ НИКОЛАЕВНА,Московская область,"Московская обл, г Мытищи, ул Карла Маркса, д 4",55.9157223,37.7681322,,https://msk-region.rabota.ru/vacancy/50228104/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Менеджер по продажам,50000.0,200000.0,без опыта,любое,"ООО ""ЛАМИВУД""",Московская область,"Московская обл, г Мытищи, Олимпийский пр-кт, стр 10",55.9436531,37.7521596,,https://msk-region.rabota.ru/vacancy/50227639/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Продавец-кассир,50000.0,75000.0,от 1 года,любое,Индивидуальный предприниматель КАРАМЯН НАРЕК АРЦРУНОВИЧ,Московская область,"Московская обл, г Люберцы, пр-кт Гагарина, д 8/7",55.6867594,37.9091706,,https://msk-region.rabota.ru/vacancy/50213141/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Повар,40000.0,,от 1 года,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ДУБИНА ВИКТОРИЯ БОРИСОВНА,Московская область,"Московская обл, г Лобня",56.0104473,37.4670831,,https://msk-region.rabota.ru/vacancy/50145039/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Сортировщик остатков кабеля,60000.0,80000.0,без опыта,любое,"ООО ""ТОРГОВЫЙ ДОМ СПЛАВМЕТ""",Московская область,"Московская обл, г Мытищи, ул Коминтерна, стр 17/1, помещ 1",55.9169767,37.7720849,,https://msk-region.rabota.ru/vacancy/50144815/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Повар-сушист,,100440.0,без опыта,любое,"ООО ""МК""",Московская область,"Московская обл, г Люберцы",55.6783142,37.89377,,https://msk-region.rabota.ru/vacancy/50081906/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Менеджер по продажам,90000.0,,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ МАКАРШИНА ВЕРА СЕРГЕЕВНА,Московская область,"Московская обл, г Подольск, ул Бронницкая, д 11",55.428645,37.5832464,,https://msk-region.rabota.ru/vacancy/50041113/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Менеджер по продажам,33000.0,60000.0,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ РЫСЕВ АРТЕМ ВЛАДИМИРОВИЧ,Московская область,"Московская обл, г Клин, ул Ленина, д 45/20",56.3363963,36.7277684,,https://msk-region.rabota.ru/vacancy/50002708/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Менеджер по продажам,50000.0,,без опыта,любое,"ООО ""ЕВХАРИСТО""",Московская область,"Московская обл, г Подольск, ул Комсомольская, д 59",55.4321648,37.5432536,,https://msk-region.rabota.ru/vacancy/49935180/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Ведущий инженер-конструктор,100000.0,,от 1 года,любое,"ООО ""ФЕНИКС""",Московская область,"Московская обл, г Солнечногорск, деревня Есипово, тер Промышленно-складская зона №2",,,,https://msk-region.rabota.ru/vacancy/49899551/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Мастер ногтевого сервиса,60000.0,100000.0,от 2 лет,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ТЕВОСЯН КАРИНА АЛЕКСАНДРОВНА,Московская область,"Московская обл, г Мытищи, ул Трудовая, д 22",55.892301,37.7113598,,https://msk-region.rabota.ru/vacancy/49754878/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Менеджер по продажам автозапчастей,80000.0,150000.0,от 1 года,любое,Индивидуальный предприниматель ГАННОЧЕНКО АРТЕМ ГЕННАДИЕВИЧ,Московская область,"Московская обл, г Видное, поселок Битца, ул Нагорная, стр 11А",,,,https://msk-region.rabota.ru/vacancy/49617381/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Монтажник/оператор оборудования SMD (радиоэлементы),60000.0,80000.0,от 1 года,среднее профессиональное,"ООО ""ВЕЛЕС""",Московская область,"Московская обл, г Люберцы, рп Томилино, ул Гаршина, д 11",,,,https://msk-region.rabota.ru/vacancy/49536893/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Бариста-кассир,75000.0,100000.0,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БАРБАРЯН МИКАЕЛ ВЛАДИМИРОВИЧ,Московская область,"Московская обл, г Видное, поселок Развилка, Римский пр-д, д 9",,,,https://msk-region.rabota.ru/vacancy/49010491/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Продавец-кассир,40000.0,,от 1 года,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СМИРНОВА МАРИНА АЛЕКСАНДРОВНА,Московская область,"Московская обл, г Одинцово, деревня Скоротово, стр 44А",,,,https://msk-region.rabota.ru/vacancy/48963280/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Оператор ЧПУ/токарь,,,от 3 лет,любое,"ООО НПП ""ЭНЕРГОМЕХАНИКА""",Московская область,"Московская обл, г Орехово-Зуево, ул Ленина, д 84",55.8092326,38.9896161,,https://msk-region.rabota.ru/vacancy/47609514/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Продавец цветов,35000.0,,от 1 года,любое,Индивидуальный предприниматель КУЗНЕЦОВ АЛЕКСАНДР ВЛАДИМИРОВИЧ,Московская область,"Московская обл, г Видное, ул Старо-Нагорная, д 8А",,,,https://msk-region.rabota.ru/vacancy/47485654/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
"Технолог кондитерского производства (печенье творожное, песочное, круассаны, сухари)",80000.0,,от 3 лет,любое,"ООО ""КОНДИТЕР""",Московская область,"Киевское шоссе, д 5",55.5802141,37.2381619,,https://msk-region.rabota.ru/vacancy/47155445/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Шаурмист,75000.0,,без опыта,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СЕРДЮКОВА ТАТЬЯНА АНАТОЛЬЕВНА,Московская область,"Московская обл, г Одинцово, г Звенигород",,,,https://msk-region.rabota.ru/vacancy/54211895/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Продавец-консультант,65000.0,,без опыта,любое,ИП Попова Татьяна Васильевна,Московская область,"Московская обл, г Красногорск, тер автодорога Балтия, 26-й км, д 7А",,,,https://msk-region.rabota.ru/vacancy/53889846/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Врач-офтальмолог,120000.0,,без опыта,любое,"ООО ""ЛДЦ ""МЕДИЦИНА""",Московская область,"Московская обл, г Наро-Фоминск, ул Шибанкова, д 3",55.4101709,36.7188197,,https://msk-region.rabota.ru/vacancy/53826976/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Автомеханик-автослесарь,100000.0,150000.0,от 1 года,любое,GLServis,Московская область,"Московская обл, г Подольск, мкр Львовский, ул Московская, д 52",55.3200901,37.5286208,,https://msk-region.rabota.ru/vacancy/53807527/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Продавец,,,от 1 года,любое,ИП Шамшурин Артем,Московская область,"Московская обл, г Дмитров, ул Профессиональная, д 26 к 1",56.3557799,37.528231,,https://msk-region.rabota.ru/vacancy/53771279/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Столяр,80000.0,130000.0,от 1 года,среднее профессиональное,Бизнес Интерьер,Московская область,"Московская обл, г Раменское, деревня Заболотье, ул Фрегатная, д 16",,,,https://msk-region.rabota.ru/vacancy/53745625/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Водитель-курьер,90000.0,130000.0,от 1 года,любое,ООО Горячев,Московская область,"Московская обл, г Домодедово",55.4087122,37.9094721,,https://msk-region.rabota.ru/vacancy/53699357/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Мастер маникюра и педикюра,50000.0,120000.0,от 1 года,любое,ИП Гречушкина Елена Владимировна,Московская область,"Московская обл, г Красногорск, поселок Архангельское",55.7868981,37.2990438,,https://msk-region.rabota.ru/vacancy/53571704/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Главный бухгалтер,100000.0,,от 3 лет,высшее,ООО Кореневский Завод Вентиляционного Оборудования,Московская область,"Московская обл, г Лосино-Петровский, ул Кирова, стр 9А к 1",55.8660774,38.2021943,,https://msk-region.rabota.ru/vacancy/52995076/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Оператор кромкооблицовочного станка,70000.0,,без опыта,любое,"ООО ""МЕБЕЛЬНОЕ ДЕЛО""",Московская область,"Московская обл, г Воскресенск, село Усадище, ул Воронцова, д 125",55.3987798,38.7518446,,https://msk-region.rabota.ru/vacancy/51355668/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Продавец-кассир,,,без опыта,любое,ИП Григорьев Эдуард Валерьевич,Московская область,"Московская обл, г Долгопрудный, ул Набережная, д 29 к 1",55.9637342,37.5231631,,https://msk-region.rabota.ru/vacancy/50976831/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Продавец дверей,,,от 3 лет,любое,"ООО ""ТРИЭР""",Московская область,"Московская обл, г Пушкино, г Ивантеевка, Ивантеевское шоссе, д 4",55.9825321,37.8875847,,https://msk-region.rabota.ru/vacancy/50705228/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Слесарь-сборщик изделий из полимерных композиционных материалов и углепластика,70000.0,,от 10 лет,среднее профессиональное,"ООО ""АЗИМУТ""",Московская область,"Московская обл, г Люберцы, рп Томилино, ул Гаршина, д 11",,,,https://msk-region.rabota.ru/vacancy/50535132/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Продавец-мастер (Дом Быта),80000.0,100000.0,от 1 года,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БУРЫЛИН ПАВЕЛ ПЕТРОВИЧ,Московская область,"Московская обл, г Краснознаменск, ул Молодежная, зд 2/1",,,,https://msk-region.rabota.ru/vacancy/50252362/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Специалист по логистике,60000.0,70000.0,от 3 лет,любое,"ООО ""ВЕТСФЕРА""",Московская область,"Московская обл, г Подольск",55.4308841,37.5453056,,https://msk-region.rabota.ru/vacancy/50237902/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Мастер маникюра-педикюра,,,от 1 года,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ГЕРАСИМОВА ЕЛЕНА АЛЕКСАНДРОВНА,Московская область,"Московская обл, г Солнечногорск, ул Молодежная, д 1",56.1775337,37.0006475,,https://msk-region.rabota.ru/vacancy/50180339/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Электромонтажник,90000.0,110000.0,от 3 лет,любое,"ООО ""ПОДЪЕМ ЛИГА СЕРВИС""",Московская область,"Московская обл, г Дмитров",56.3450695,37.5200723,,https://msk-region.rabota.ru/vacancy/50141824/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
Электромонтажник,80000.0,,от 1 года,среднее профессиональное,"ООО ""ВСК-ЭНЕРГО""",Московская область,"Московская обл, г Химки",55.8917293,37.4396994,,https://msk-region.rabota.ru/vacancy/50141178/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8,rabota.ru
